# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
00737;GR-XLX737;XLX737 MModeRf;83.212.170.243;42000;000;
32592;US-America-Link;America Link;americalink.radiotechnology.xyz;42000;000;
21187;ES-WiresX;Wires-X-Spain;82.223.204.29;42001;000;
09517;AU-M17-Project;M17 Project Ch;p25tg9517.vkradio.com;42004;000;
42021;XX-YSF-TEST;YSFReflector;ysf365.mooo.com;42002;000;
14514;KR-Redcross;KR-Redcross;132.145.89.90;42000;000;
03073;US-YSF03073;PhilippineLink;47.147.153.225;42000;000;
00120;US-YSF00120;XLX120;xlx120.com;42000;000;
00734;US-xlx-venezuela;xlx vzla;148.135.119.83;42000;000;
00105;BR-REF105;REF105;ref105.dstar.com.br;42000;000;
32474;ES-CQ-DX;CQ-DX Mundial;grupoelite.es;42003;000;
21042;US-SoCalHam;Bridge 21042;167.99.150.253;42004;000;
09480;GB-YSF09480;ICQPodcast;dashboard.icqpodcast.com;42000;000;
42002;US-EastCoastHams;Eastern Hams;n2spy.ip-ddns.com;42000;000;
14500;US-We-Love-Ham;;172.234.216.199;42000;000;
02986;PT-YSF009;YSF009;pysf-pt.brandmeister.pt;42215;000;
00727;US-SARNAK;SANARK;15.204.233.214;42000;000;
50563;AU-VK44-TG63;VK44-TG63;tg63-serg.ref.vk44.net;42000;000;
00100;MK-MACEDONIA;Macedonia-C4FM;84.74.144.7;42001;000;
32455;US-MIZZOU-Link;mizzou-link;136.32.131.147;42395;000;
52616;IT-XLX934;ARI FVG XLX;xlx934.arifvg.it;42000;000;
21009;GR-Dig_-Voice-1;Digital Voice;84.254.24.85;42000;000;
09344;US-AC1KV;AC1KV Rptr;140.82.14.24;42000;000;
41888;SG-SINGAPORE-YSF;SINGAPORE-YSF;xlx.lucifernet.com;42002;000;
14293;US-MIDWEST-OH;MIDWEST-OHIO;KF8I.DDNS.NET;42006;000;
02931;US-Hudson-NY;Upstate NY;keetz.mynetgear.com;42002;000;
00724;BR-Brasil-Link;;ysf.amrase.org.br;42000;000;
32453;US-KCWide;KansasCityWide;ysf.kansascitywide.com;42000;000;
20998;ES-PEANUT-YSF;YSF PEANUT;80.211.78.17;42000;000;
09284;CO-REM-52Hz;C4FM Colombia;hf509c6q20d.sn.mynetname.net;42052;000;
00718;IT-URF718;URF718;m17-718.ddns.net;42000;000;
