# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
26201;DE-C4FM-Germany;(YCS262);ycs262.xreflector.net;42000;000;
46571;CN-ZJ-HZ01;BM-TG46001;221.12.6.196;42001;000;
44206;GB-SW-Cluster;UK SW Cluster;zorba1970.no-ip.biz;42007;000;
22276;IT-TRANI-BAT;Trani Conf;199.247.14.169;42000;000;
29890;GB-TheBlackSheep;XLX207 Bridge;217.61.23.81;42000;000;
26200;DE-Deutschland;Multistream D;ysf-deutschland.de;42000;000;
22275;IT-TRAPANI-MP;MP-TRAPANI;mp-clustertrapani.ddns.net;42000;000;
29737;JP-JA2FYO-YSF1;JA2FYO YSF;133.232.90.95;42500;000;
26112;TW-YSF-333;Taoyuan;ysftw338.ddns.net;42000;000;
46572;CN-ZJ-HZ02;BM-TG460501;221.12.6.196;42002;000;
44208;DE-DL-TRIER;Lokale Gruppe;dl1amt.hopto.org;42003;000;
22274;IT-URFBTT;URFBTT;82.85.236.36;42003;000;
29725;ES-CLAMANCHA;TOLEDO;ea4ddl.ddns.net;42000;000;
26001;PL-C4FM-Poland;YCS Poland;88.220.250.55;42000;000;
00008;XX-WORLDLINK;World link;worldlink.pa7lim.nl;42000;000;
00009;GB-CQ-UK-C4FM;World Wide;149.102.158.76;42200;000;
22273;IT-XLXBAT;transcode;82.85.236.36;42002;000;
26000;PL-TG260BM;;185.254.7.66;42035;000;
29711;CA-HARC-Ontario;HARC-UHF;ve3pkg.dyndns.org;42002;000;
46684;GB-0VERLAND;GB-0VERLAND;gb0verl4nd.zapto.org;42002;000;
44209;DE-MESH-BM26256;MoselEifelSaar;dl7pj.sytes.net;42000;000;
22270;IT-IZ7DDC;YSF Palagianel;iz7ddc.duckdns.org;43000;000;
29625;US-KK0TT;KK0TT Fargo ND;testkk0tt.ddns.net;42003;000;
25901;MD-C4FM-Moldova;YCS Moldova;91.211.48.135;42000;000;
22269;IT-FRANCAVILLA;Multiprotocoll;iw6nbx.ddns.net;42000;000;
29464;UA-Chernovcy-YSF;DMR TG25526;ysf25526.uw0wu.com;42012;000;
25812;RU-URFSPB;URFSPB;xlxspb.qth.spb.ru;42000;000;
46818;CN-DZ-TG460818;BI1LYT-B460818;47.108.229.231;42000;000;
44210;DE-Trier-BM26259;Trier Saarburg;dl7pj.sytes.net;42002;000;
22268;IT-YSF22268;ircDDB-Italia;xlx068.ircddb.it;42002;000;
29432;UA-Donetsk-YSF;DMR TG25505;ysf25505.uw0wu.com;42021;000;
25603;US-RoosterNet;Rooster Net;159.89.87.215;42000;000;
22267;IT-YSF-ROSETO;;109.239.250.3;42004;000;
29368;PA-Panama-GREMPA;@grempana;142.171.11.219;42000;000;
25511;UA-Radiolink_Od;Odesa UA;78.26.204.125;42000;000;
46888;CN-Henan;HeNan;117.158.81.218;42000;000;
44213;GB-Mash369;;90.243.73.67;42000;000;
22265;IT-Test-YSF;Test YSF Room;iu6ibx.ddns.net;42000;000;
29298;PH-Freedom;Enjoy The QSO;174.138.27.163;42000;000;
25383;JP-JAPAN;Fusion Japan;c4fm.owari.biz;42000;000;
22264;IT-Teramo-YSF;TE YSF Room;iu6ibx.ddns.net;42003;000;
29073;NZ-ZL1AMK;Whangarei NZ;zl1amk.ddns.net;42002;000;
25223;AT-OE1PHS;AT;80.108.239.88;42000;000;
47247;CH-HB-C4FM-Basel;Gruppo HB9CSR;212.237.33.114;43000;000;
44222;GB-GB-NWFG2;;193.237.211.133;42300;000;
22256;IT-XLX027;XLX reflector;xlxaras.duckdns.org;42001;000;
28941;US-WolfDen;Wolf Pack Net;wolfden2.ddnsgeek.com;42000;000;
25002;RU-MOSCOWMITINO;Moscow Mitino;ysf.r2bli.ru;42002;000;
22255;IT-URFITM;URFITM;46.226.178.86;42000;000;
28921;IT-Verbania;ARI Verbania;pmvhost.ddns.net;42000;000;
25001;RU-RUSSIA;Russia;r3pij.ru;42000;000;
47789;ES-EA4GAX-YSF;EA4GAX-YSF;51.83.78.210;42002;000;
44298;CH-SUHR-YSF-BSZH;YSF SUHR;ysfsuhr.internet-box.ch;44298;000;
22250;IT-PROCIDA;YSF ROOM;ic8uoh.ddns.net;42000;000;
28868;PL-TROJMIASTO;;83.144.124.122;42000;000;
24995;DE-xlx986;xlx986;202.61.251.72;42000;000;
22245;IT-GDO-YSF;Valdossola;ysfgdo.duckdns.org;42002;000;
28777;DE-Bremen;YSF Bremen;do0bre.dyndns.berlin;42003;000;
24943;IT-MULTIPROTNET;IT-MULTIPROTNE;80.211.69.5;42000;000;
44310;GB-GB7RK;GB7RK-RPT;193.237.211.133;43000;000;
22244;IT-TEST-ITA4OVE;ITA4Ovest TEST;217.160.38.80;42044;000;
28688;US-XLX910;XLX910;xlx910.mywire.org;42007;000;
24555;US-MIAMI;MIAMI-HISPANO;miami.ysf.es;42388;000;
22240;IT-XLXEMO;Emilia Ovest;217.160.38.80;42001;000;
28659;TH-XLX919;XLX Reflector;128.199.235.93;42000;000;
24543;PA-XLX744;XLX reflector;xlx-hp3.dnsup.net;42002;000;
47792;IT-PIRS-ITALIA;YSF PIRS;mikylan.ddns.net;42395;000;
44444;US-ECR;YSF--EC/REF;ysf.kr1p.org;42225;000;
47791;DE-DE-DL-Saar;Saarland;c4fm.ysfreflector.de;42002;000;
22233;IT-XLX177;IT-XLX177;xlx.iz3mez.it;42000;000;
28603;US-K3IHI-RPT;Latin American;131.106.60.223;42000;000;
24542;PA-Chiriqui-Link;Chiriqui-Link;ysf-hp3.dnsup.net;42000;000;
22231;IT-XLXSCP;XLX Reflector;xlxscp.iv3scp.it;42000;000;
28600;TR-URF286;URF286;93.186.113.147;42000;000;
24415;US-Ne-oregon;Wirex Oregon;76.144.192.89;42000;000;
48012;US-XLX110;XLX110 Bridge;140.82.14.24;42004;000;
45000;UA-Kryvyi-Rih;;134.249.84.243;42000;000;
22222;IT-ITA4OVEST;Emilia Ovest;217.160.38.80;42000;000;
28505;GB-Wakefield;Wakefield UK;m0iee.no-ip.org;42000;000;
24266;DE-DL7PJ;Dierscheid;dl7pj.sytes.net;42001;000;
22220;IT-C4FM-BM2222;C4FM-BM2222;ysf22220.dmrbrescia.it;42222;000;
28503;US-xlx287-ysf;xlx287;570351.nodes.allstarlink.org;42000;000;
24160;AU-AUS-REPEATER;VK WiresX;ysf3.kernwifi.com.au;42000;000;
48042;IT-XLX395;XLX395;xlx395.grupporadiofirenze.net;42444;000;
45578;US-XLX578;XLX Reflector;airport.bitbybithams.com;42000;000;
22215;IT-D2ALP;YSF D2ALP;185.36.55.117;42007;000;
24078;SE-SK7RFL;SvxLink 24078;569404463241.sn.mynetname.net;42000;000;
28501;US-KQ4MUG-LINK;KQ4MUG;626770.nodes.allstarlink.org;42000;000;
22210;IT-ADN_ITALIA;;185.203.216.4;42018;000;
28500;US-N8PC;N8PC;457430.ip.hamvoip.org;42000;000;
24051;SE-SK5BN;SvxLink 240501;sk5bn-70.sk5bn.amprnet.se;42000;000;
48095;IT-CAMCAST;YSFREFLECTOR;80.211.12.209;42000;000;
45742;PT-YSF012;YSF012;pysf-pt.brandmeister.pt;42218;000;
22209;IT-IT-Radio-Chat;Radio Chat;80.211.144.146;42000;000;
28477;BG-XLX534;ADN systems BG;77.77.24.224;42000;000;
24044;UA-Kharkov-YSF;DMR TG25521;ysf25521.uw0wu.com;42007;000;
22208;IT-Italy-Centro;ItaC Digiland;194.164.22.245;42000;000;
28377;US-New-York-Link;;kb2ngu.dynamic-dns.net;42000;000;
24033;US-WG5EEK-Room;WG5EEK Room;wg5eek.com;42004;000;
48460;GB-Allstars-UK;GB Allstars;allstars.getmyip.com;42002;000;
45904;ES-TENERIFE;YSFTG21438;185.166.212.132;42001;000;
22203;TH-YSF-C4FM-83;XLX138 P THAI;103.195.7.20;42003;000;
28374;IT-28374;ITARADIO;185.203.116.72;42000;000;
23957;US-DX3L-YSF;DX3L Multilink;24.111.198.192;42000;000;
22202;IT-IS0-Sardegna;TG22202-BM;94.32.71.16;42000;000;
28345;IT-IT-YSF-CUNEO;C4FM CUNEO;iz1gcn.ddns.net;42002;000;
23636;AU-Bayside-Chat;Bayside Chat;ysfreflector.bdars.org.au;42002;000;
48550;US-RV-rtp-group;Rogue Valley;ysf.pcpackrat.net;42001;000;
45956;PL-HBL-Kutno;HBLink Kutno;ysf.hblink.kutno.pl;42078;000;
22201;IT-C4FM-Italy;YCS222;209.227.237.98;42000;000;
28298;US-ZOMBIE-ALERT;ZOMBIE-ALERT;50.4.199.106;42009;000;
23599;GB-XLX926;Lincs;2.59.156.115;42000;000;
22200;IT-Benacus;YSFReflector;c4fm.ddns.net;42005;000;
28235;IT-ras-sardegna;ras sardegna;5.189.177.8;42000;000;
23595;GB-OZ-DMR;OZ-DMR NETWORK;england.oz-dmr.network;42000;000;
48581;PR-YETI-NET;Yeti-Net-YSF;157.245.6.127;42002;000;
46000;CN-BM46001;BM-TG46001;124.160.30.69;42000;000;
22127;CO-HK3MRJ;Colombia;hk3mrj.redirectme.net;42199;000;
28064;IT-CADORE;YSF-CADORE;5.180.170.173;42033;000;
23567;GB-CLUBNETUK;ClubNet UK YSF;ysf.clubnet.uk;42001;000;
22037;GB-Sidmouth-ARS;G0AXC-SARS;88.208.241.94;42100;000;
23566;GB-SWDG;Multimode;ysf.swdg.net;42000;000;
28054;US-XLX458;KCWide Backup;xxlx.w0fh.net;42000;000;
48857;SI-Slovenia;SI Slovenia;xlx511.ddns.net;42000;000;
46001;CN-C4FM-TG46001;BM TG46001;222.128.4.82;42000;000;
22036;GB-M1AXM;GB M1AXM UK;88.208.241.94;42007;000;
27797;RU-MOSCOW;MOSCOW;128.0.132.69;42000;000;
23557;JP-YSF-Shizuoka;JA2FYO YSF-2;133.232.90.95;43000;000;
22027;RS-22027;Free talk;dmr-pmr-net.duckdns.org;42027;000;
23531;GB-RAYNET-UK;RAYNET-UK;raynet.m0guy.com;42000;000;
27793;GB-Wires-X;CQ-UK Wires-X;81.150.10.63;42400;000;
49711;ES-SEVILLA;SEVILLA;148.135.96.174;42387;000;
46004;CN-C4FM;China C4FM;139.224.207.157;42002;000;
21982;GB-G0GRC;Grantham Link;ysf.garc.org.uk;42000;000;
27714;AU-SCAN-YSF;SCAN-I;103.236.163.81;42000;000;
23525;GB-XFreedom;XFreedom;ysf.m0xfn.radio;42009;000;
21957;IT-XLX-957;XLX-VALSABBIA;87.106.196.53;42000;000;
23522;GB-CLANCS-RAYNET;YSF-CLR;ysf23522.dyndns.org;42000;000;
27688;US-SO-Oregon-RC;SO RV;ysf.pcpackrat.net;42000;000;
46008;CN-YSF-TG46008;YSF_BM_TG46008;47.108.229.231;42003;000;
21909;XX-PRIDE-2;LGBTQIA+ HAMS;209.222.4.140;42000;000;
27654;IT-ITALY-NORD-BK;ITALY-NORD-BK;ysf.iw2hgl.it;42001;000;
23511;GB-LEFARS;LEFARS-MULTI;xlxlef.gb7hh.co.uk;42000;000;
17810;GR-FRN-HELLAS;YSF > 2022.ADN;greece-frn.ddns.net;42002;000;
05555;GB-GetOnAir-DV;GetOnAir DV;dv.getonair.uk;42012;000;
50000;GB-M1DYP-WELWN;welwyn uk;82.4.5.245;42002;000;
21668;US-21668;Grupo Magellan;173.230.146.231;42000;000;
27372;US-NXG-HUB;The NXG HUB;x7284776.eero.online;42005;000;
23500;GB-FreeDMR-23500;FDMR TG 23500;ysf.freedmr.uk;42500;000;
21566;US-LATINOS;(FCS004);fcs004.xreflector.net;42000;000;
27345;IT-MP/Dolomiti;;185.170.138.28;42000;000;
23455;GB-CQ-Wales;CQ-Wales;ysf.wales.cqnorth.org.uk;42007;000;
43546;TH-YSF-C4FM-38;C4FM-TH-FunHAM;103.195.7.20;42001;000;
46010;CN-BJ-TG46010;BM TG46010;222.128.4.82;42002;000;
53696;CL-CHILE-C4FM;C4FM YSF CHILE;190.54.137.189;42002;000;
53715;US-KD4UFD;Powell TN;kd4ufdsustems.ddns.net;42000;000;
53927;US-CO-WE0FUN;Fun Machine;c4fm.we0fun.com;42000;000;
54117;US-WSIXDAD;W6DADGoodyear;98.177.50.23;42002;000;
54321;GB-CQ-UK;Peanut Bridge;81.150.10.62;42300;000;
54402;FR-YSF-LONGWY-2;RC ARAS54N;85.95.202.3;42375;000;
54444;KR-YSF771;;220.123.96.162;42000;000;
54634;US-SWLA337;SWLA-LINK;ysf.swlalink.com;42000;000;
54810;FR-YSF-LONGWY;ARAS54N;85.95.202.4;42304;000;
54919;DE-DL-NORDWEST;dlnw.de;dl-nordwest.com;42000;000;
55015;DE-DE-WESTPFALZ;C4FM Westpfalz;c4fm.ysfreflector.de;42004;000;
55112;PL-KKSR;KKSR.PL;ysf.kksr.pl;42112;000;
55134;US-55134;Grupo Magellan;172.233.137.254;42000;000;
55193;GB-M0JCM-TEST;;213.18.149.254;42000;000;
55295;US-TOADS;TOADS Digital;ysf.toads.site;42002;000;
55435;ES-ALLSTAR;SYSTEMX;80.211.78.17;42395;000;
55555;BR-YSF-Brasil;YSF home;200.150.207.27;42555;000;
55577;US-NTNLR-DFW;NTNLR.DFW.US;47.189.149.201;42000;000;
55697;RU-XLX171;XLX reflector;r3pij.ru;42171;000;
55812;US-YSFFDCCU;US San Diego;ysf-n0mis.ddns.net;42000;000;
55817;US-Uni-Link;UniversityLink;repeater.kyled.org;42000;000;
56026;US-YouTubers;YouTubers;155.138.212.200;42000;000;
56429;GB-GB7WF-B;Bewdley, Worcs;217.155.217.4;42002;000;
56681;UA-Zhitomir-YSF;DMR TG25506;ysf25506.uw0wu.com;42009;000;
57146;TH-XLX727;XLX Reflector;143.198.216.15;42000;000;
57288;DE-Falkensee;YSF-Reflektor;dm8bjf.dyndns.org;42000;000;
57289;DE-Falkensee2;YSF-Reflektor;dm8bjf.dyndns.org;42032;000;
57290;DE-Falkensee3;YSF-Reflektor;dm8bjf.dyndns.org;42033;000;
57440;FR-YSF-F1ZRP;Room F1ZRP;212.132.106.102;42395;000;
57575;PH-PASA;PASA Inc.;pasaysf.n6tpm.net;42000;000;
57618;US-Tri-City;Tri-City-Room;107.21.102.94;42000;000;
57686;US-KOTALINK;KidsOnTheAir;172.234.216.120;42000;000;
57711;US-K5AIN-ASL;ASL YSF Link;ysf.k5ain.com;42004;000;
57839;SE-SM5GXQ;BM | SvxLink;ysf.granudden.info;42000;000;
58129;PH-DX6PAR;PARC Inc;107.152.46.236;42000;000;
58183;TH-YSF149;YSF reflector;ysf.pwk.ac.th;42009;000;
58256;DE-YSFEND;XLXEND;xlxend.mywire.org;42002;000;
58511;ES-ALCOYANOS;ALCOYANOS;82.223.204.29;42395;000;
58617;FR-YSF-France;pYSF3;ysf-france.fr;42000;000;
58734;XX-vzla2-xlx;venezuela xlx;108.65.109.237;42000;000;
58936;US-Atlanta-YSF;Atlanta,GA-YSF;104.54.169.239;42002;000;
59073;US-HEMET-HANGOUT;XLX618;ysf.kn6rbp.com;42000;000;
59115;NZ-Canterbury-NZ;Mount Grey CHC;zldigitalreflectors.hopto.org;42050;000;
59173;US-XLX318-Hemet;HEMET MM;xlx.kn6rbp.com;42000;000;
59309;AU-Albury-Chat;Albury Chat;13.237.195.56;42000;000;
59637;JP-XLX098;XLX reflector;122.132.48.12;42001;000;
59659;PH-4G1FTU;4G1FTU;162.212.154.202;42000;000;
59795;US-TEXAS-MRN-2;TEXAS-MRN-2;71.11.197.98;42000;000;
59911;AT-Austria-OE8;AT Austria OE8;188.63.22.20;42000;000;
60200;FI-YSF-OH6AH;YSF Finland;ysf.oh6ah.fi;42000;000;
60253;GB-Dundee_ARC;Dundee ARC;rslater.ddns.net;42000;000;
60318;US-Studio-B;XLX Reflector;xlx408.ddns.me;42000;000;
60511;PH-ICARE-Iloilo;ICARE iloilo;149.28.42.244;42002;000;
60725;ES-GOMERA;R5 GOMERA VHF;185.166.212.132;42003;000;
60755;US-Texas-Patriot;Texas Patriots;texaspatriot.ddns.net;42000;000;
60927;BR-SUPERLINK;BR-SUPERLINK;ysf.superlink.qsl.br;42000;000;
60992;FR-6471-REUNION;Room C4FM Reun;51.38.225.179;42000;000;
61144;PH-DV7SKY;DV7SKY CEBU;130.51.22.233;42001;000;
61383;NL-XLX700;XLX reflector;dv.pd3rfr.nl;42004;000;
61500;US-N8VOX-Radio;N8VOX Radio;n8vox.ddns.net;42002;000;
61685;EC-Ecuador-HC3;Loja RadioClub;ysf-hc3.ddns.net;42000;000;
62078;NZ-Christchurch;BM530 Bridge;zldigitalreflectors.hopto.org;42000;000;
62113;US-KETWORO;PHXWESTVALLEY;98.177.50.23;42004;000;
62121;US-K2EJ-Empire;;xlx219.k2ej.com;42000;000;
62148;US-XLXUFB;XLXUFB;xlx.ufbnewengland.com;42000;000;
62200;GB-xlx201;xlx201 YSF;xlx201.uk;42000;000;
62208;US-CQ-NODAK-A-ZX;CQ NorthDakota;ysf.cqnodak.com;42000;000;
62243;ES-XLX434;XLX434;zuluradio.es;42005;000;
62426;US-CRHRC-TX;CRHRC YSF Ref;vpn.crhrc.org;42000;000;
62716;SI-Slovenia2;Slovenia2;109.182.208.218;42000;000;
62829;DE-DE-Germany;YSF262 BM263;c4fm.ysfreflector.de;42000;000;
62980;ES-EA-Distrito-4;YSF Distrito 4;212.237.0.67;42000;000;
63082;US-DezertRatz;NV Club;k7tdm.hopto.org;42005;000;
63113;PL-HBL260;YSF-HBL260;ysf-hbl260.hblink.network;42078;000;
63150;BE-YSF-DD;DARKELL's;ysf.dworznik.be;42000;000;
63222;US-QCWA;Chapter 147;82.223.204.29;42007;000;
63305;CN-C4P25-TG46005;YSF2P25-46005;47.109.24.90;42000;000;
63306;CN-CKG-TG46001;YSF_BM_TG46001;47.109.55.52;42006;000;
63307;CN-CKG-DGID;DGID_Multi_BM;47.109.55.52;42002;000;
63309;CN-Private;Private use;47.108.225.235;42000;000;
63333;DE-DE-Twitterrun;GW BM TG263333;c4fm.ysfreflector.de;42001;000;
63462;US-ALLSTAR-63462;ALLSTAR BRIDGE;23.245.60.148;42000;000;
63600;LV-LV-MultiMode;LV MultiMode;xlx.ham.lv;42000;000;
63877;US-US-KJ6DLF;Home QTH;kj6dlf-yfs.casx2.net;42003;000;
64200;LT-XLX642;LY Multimode;xlx.qsl.lt;42000;000;
64230;US-America-RC;Longer QSO'S;76.157.8.181;42000;000;
64323;GB-JOTA;1st Solihull;jotauk.ddns.net;42003;000;
64547;ES-XLX069;Grupo ELITE;grupoelite.es;42006;000;
64700;FR-YSF-REUNION;YSF-REUNION;135.125.133.166;42001;000;
64701;FR-C4FM-Reunion;64701;numericroom.ddns.net;42395;000;
65075;DE-RAMSES;XLX875;85.214.225.155;42000;000;
65082;DE-RAMSES-II;Only VW-mode;germering.dnsuser.de;42002;000;
65083;DE-RAMSES-III;Test;germering.dnsuser.de;42003;000;
65084;DE-Bayern;Bayern;germering.dnsuser.de;42004;000;
65085;DE-Muenchen;Munich;germering.dnsuser.de;42005;000;
65102;US-US-UHDARC;UHDARC;45.79.0.165;42000;000;
65111;US-MVARA-YSFLink;AB6MV repeater;24.144.82.72;42000;000;
65330;CN-CS-BI8AQ;TG46028;362j922s03.wicp.vip;42000;000;
65423;CN-BI8CQD;BI8CQD;rango.cc;42000;000;
65535;US-WCARS-YSF;WCARS-CHICAGO;99.198.100.7;42002;000;
66546;TH-XLX818;XLX reflector;188.166.226.76;42005;000;
66566;GB-WestBerks;West Berks;westberks.m0c.uk;42000;000;
66616;PH-PH-YSFDX1CW;DX1CW;45.32.49.120;42000;000;
66632;UA-Azimuth-YSF;DMR TG25577;ysf25577.uw0wu.com;42013;000;
66657;CA-CA-Rimouski;Rimouski,QC;173.182.179.173;42002;000;
66666;KP-SIX;;200.150.207.27;42666;000;
66670;CA-Acadie;Acadie,Qc est;174.113.118.234;42003;000;
66677;CA-VA2RXY-R-Bleu;CA VA2RXY;184.161.30.124;42003;000;
66906;ES-ELITE;Grupo ELITE;grupoelite.es;42000;000;
67173;KR-YSF772;;146.56.185.110;42002;000;
67545;US-N1UDQ;;ysf.n1udq.com;42000;000;
67762;GB-M0UNC-ROOM;M0UNC-ROOM;m0unc.net;42002;000;
67763;GB-M0UNC-XLX677;AllMode Test;M0UNC.CO.UK;42002;000;
67764;GB-m0usr-room;m0usr-room;m0usr.uk;42002;000;
67849;PE-OA-TRUJILLO;YSF TO DMR;ysftrujillo.ddns.net;42000;000;
67907;JP-KANAZAWA;JAPAN KANAZAWA;jp-kanazawa.f5.si;42000;000;
68214;US-AMLEG-NCKOUON;KB4KY YSF;67.215.222.30;42000;000;
68260;US-XLX947;LARK YSF;w8lrk-xlx947.ddnsfree.com;42000;000;
68800;IT-2007-DXGROUP;2007-DXGROUP;89.46.75.115;42000;000;
68901;US-Jefferson;JeffersonState;209.46.126.184;42101;000;
68928;US-Mid-Tn-Rm;Mid Tn Rm;104.56.140.47;42001;000;
69110;US-CDGANY;CDGANY;66.115.75.12;42002;000;
69141;UA-Ternopol-YSF;DMR TG25520;ysf25520.uw0wu.com;42025;000;
69159;AU-Adelaide-10G;YSF-WIRESX;ysf.kernwifi.com.au;42002;000;
69285;US-KT4EMA-BLOUNT;KT4EMA-BLOUNT;96.47.95.121;42005;000;
69614;US-Phoenix-AZ;Phoenix AZ;38.18.68.3;42500;000;
69696;GB-LAAS-CLAN;Laas Clan;ysf-laasclan.cq-nw.uk;42020;000;
69912;US-W2BN-YSF;W2BN Talkgroup;ysf.na9x.com;42002;000;
70100;XX-C-AMERICA;(YCS701);ycs701.xreflector.net;42000;000;
70366;FR-XLX310;Serveur XLXD;srv.ysf-france.fr;42000;000;
70707;IT-HAM;IT-HAM;ysf.iz3mez.it;42100;000;
70760;US-SW-OHIO;SW-OHIO;KF8I.DDNS.NET;42005;000;
71041;UA-Chernigov-YSF;DMR TG25525;ysf25525.uw0wu.com;42029;000;
71050;GB-YorkshireNet;Yorkshire Net;ref01.qsos.uk;42002;000;
71053;GB-EarsRadio;Ears Radio;ears.qsos.uk;42000;000;
71076;XX-Scaryetta;GA Reflector;73.106.203.68;42001;000;
71083;CA-Canada-Fr;Fusion Canada;209.209.94.232;42000;000;
71893;US-URFPAW;URFPAW;urfpaw.11cats.org;42000;000;
71972;PH-DX7NRD;NORAD-7;140.82.14.24;42002;000;
72201;AR-ARGENTINA;(YCS722);ycs722.xreflector.net;42000;000;
72207;PT-XLX040;XLX040;xlx040.dstar-portugal.pt;42500;000;
72268;TH-XLX148;XLX reflector;xlx.hs3tdi.com;42000;000;
72312;CA-SGBARC;Midland-ON;sgbarc.hopto.org;42000;000;
72350;CL-CHILE;YSF to TG730;sdradio.cl;42000;000;
72400;BR-YSF-DV-BRAZIL;YSF724 DVBR;ysf.dvbrazil.com.br;42000;000;
72401;BR-YSF72401;YCS724-BRAZIL;191.252.101.21;42000;000;
72402;BR-PU4RON;PU4RON DV BRA;165.73.249.152;42000;000;
72406;BR-PU2RRY;Sao Paulo;ysf-pu2rry.dynv6.net;42001;000;
72420;BR-MASTER-SUL;Refletor YSF;191.252.191.246;42000;000;
72422;BR-YSF-BAHIA-BR;BM TG-BAHIA;191.252.113.227;42000;000;
73010;CL-Link-73010;Chile YSF73010;190.100.113.203;42731;000;
73097;US-KG4EGZ;;34.202.166.231;42000;000;
73102;US-Southwest-USA;Southwest USA;38.18.68.3;42700;000;
73200;US-Octane-XLX732;Octane XLX732;xlx.octanenetwork.net;42000;000;
73210;UA-Vinnica-YSF;DMR TG25502;ysf25502.uw0wu.com;42019;000;
73228;GB-XLX925;;193.237.211.133;44000;000;
73301;CA-xlxve1;xlxve1;xlxve1.candx.ca;42000;000;
73302;CA-xlxve2;xlxve2;xlxve2.candx.ca;42000;000;
73303;CA-xlxve3;xlxve3;xlxve3.candx.ca;42000;000;
73304;CA-xlxve4;xlxve4;xlxve4.candx.ca;42000;000;
73305;CA-xlxve5;xlxve5;xlxve5.candx.ca;42000;000;
73306;CA-xlxve6;xlxve6;xlxve6.candx.ca;42000;000;
73307;CA-xlxve7;xlxve7;xlxve7.candx.ca;42000;000;
73308;GB-xlxvgb;xlxvgb;xlxvgb.candx.ca;42000;000;
73465;US-W4BAD;W4BAD Link;ysf.w4bad.com;42000;000;
73488;US-ECR-V-Wide;YSF--EC/REF;ut.kr1p.org;42226;000;
73531;ES-EA-CANARIAS;CANARIAS;80.211.78.17;42005;000;
73837;GB-Ipswich;Ipswich;178.17.255.96;42000;000;
74001;EC-QUITO;YSF ROOM;jjsc.ddns.net;42001;000;
74002;EC-ECUADOR;C4FM;jjsc.ddns.net;42000;000;
74132;US-us-xlx245;xlx245;172.232.15.244;42000;000;
74154;DE-PEGASUS;PegasusMulti;148.251.94.163;42001;000;
74161;ES-112;Emergencias;grupoelite.es;42004;000;
74253;DE-Runde-Bremen;Kloenschnack;dg7bst.dyndns.berlin;42002;000;
74306;US-URF478;URF478;urf.hamvillage.org;42000;000;
74565;JP-YSF-NAGOYA-2;YSF-NAGOYA-2;122.132.48.12;42002;000;
74595;UA-Kherson-YSF;DMR TG25522;ysf25522.uw0wu.com;42026;000;
74866;US-URF550;URF550;urf550.hanafarm.biz;42000;000;
74870;UY-Uruguay-Link;Uruguay Link;148.135.82.165;42000;000;
75064;UA-Rovno-YSF;DMR TG25518;ysf25518.uw0wu.com;42005;000;
75749;US-Texax-i35hams;Texas i35 Hams;txi35hams.com;42000;000;
75791;CN-Z-FLTSIM;FLIGHTSIM Chat;43.100.123.82;42001;000;
75925;CL-Link-75925;Chile YSF75925;44.31.61.66;41001;000;
76125;IT-URFBAT;URFBAT;aritrani.does-it.net;42000;000;
76138;US-xlx-borris;Blind Hams;xlx.borris.me;42000;000;
76217;TH-YSF-C4FM-138;XLX138 B;103.195.7.20;42002;000;
77067;GB-Truckers;UK Truck Drive;2.103.41.87;42001;000;
77194;PL-XLX194;UZNAM;178.238.240.209;42000;000;
77353;CA-C4FM-Ontario;C4FM Ontario;c4fmontario.hopto.org;42100;000;
77384;US-XLX384;MRN REF-1;71.11.197.90;42384;000;
77385;US-XLX385;MRN REF-2;71.11.197.98;42385;000;
77412;FR-YSF-MULTIPR;pYSF3;nws.ysf-france.fr;42299;000;
77462;PL-XLX132-XLXd;D-Star Gateway;xlx132.dstar.radom.pl;42000;000;
77661;US-KB1NYT-Rptr;KB1NYT Rptr;kb1nyt.hopto.org;42000;000;
77723;US-wmdhamradio;West-MD,PA,WV;45.32.213.79;42000;000;
77743;US-HR-Crusaders;HamRadioCrusdr;50.116.29.234;42000;000;
77777;BR-Brazil;dvbr.net;200.150.207.27;42777;000;
78228;UA-Lvov-YSF;DMR TG25514;ysf25514.uw0wu.com;42017;000;
78258;PH-DX1PAR;DX1PAR;dx1par.ddns.net;42100;000;
78427;PH-DX1ARM;DX1ARM YSF;armi.bolsademaria.com;42000;000;
78668;UA-Poltava-YSF;DMR TG25517;ysf25517.uw0wu.com;42006;000;
79271;TH-XLX138;XLX Reflector;103.195.7.20;42000;000;
79655;US-XLX137;XLX137;xlx137.mywire.org;42000;000;
79763;PL-MOH;MOHAVK;81.190.16.64;42000;000;
79776;AR-ARG-LINK;LINK TG7227;argentinafusion.ddns.net;42200;000;
79890;RO-XLX227;XLX reflector;xlx227.hamnet.ro;42000;000;
79924;PL-AVK;MOHAVK;81.190.16.64;42002;000;
80015;CA-CA_ALL_CANADA;All Canadian;142.113.113.190;42004;000;
80100;US-MI-UT-Link;MI TO UT;98.250.33.169;42002;000;
80207;CL-CHILE-D-STAR;C4FM TO DSTAR;190.54.137.189;42000;000;
80208;CL-URF046;URF046;190.54.137.189;42000;000;
